Title,year,SJR,h-index,avg_citations
Economics and Politics,1999,0.526,37,0.37
Environment and Development Economics,1999,0.525,52,0.34
Fiscal Studies,1999,0.517,34,0.48
Cambridge Journal of Economics,1999,0.517,70,0.91
Management Accounting Research,1999,0.512,72,0.93
International Journal of Finance and Economics,1999,0.511,33,0.46
Empirical Economics,1999,0.503,45,0.32
Auditing,1999,0.502,58,0.41
Journal of Economic Psychology,1999,0.491,77,0.44
Journal of Business Ethics,1999,0.49,132,0.37
Entrepreneurship and Regional Development,1999,0.487,69,1.05
"Resources, Conservation and Recycling",1999,0.47,94,0.78
Agricultural Economics,1999,0.467,63,0.45
Southern Economic Journal,1999,0.465,47,0.4
Journal of International Marketing,1999,0.462,73,0.39
Longe Range Planning,1999,0.452,81,0.66
Journal of Housing Economics,1999,0.45,41,0.2
Bulletin of Indonesian Economic Studies,1999,0.45,27,0.77
Education Economics,1999,0.448,27,0.0
International Journal of Production Economics,1999,0.446,141,0.32
Pacific Basin Finance Journal,1999,0.443,43,0.42
Business Ethics,1999,0.439,21,1.0
Feminist Economics,1999,0.434,45,0.61
Economic Development Quarterly,1999,0.431,40,0.54
Journal of Financial Services Research,1999,0.428,44,0.44
Capital and Class,1999,0.427,20,0.34
Journal of Risk and Insurance,1999,0.424,53,0.75
Journal of Business Finance and Accounting,1999,0.419,60,0.61
International Business Review,1999,0.417,73,0.42
Scottish Journal of Political Economy,1999,0.415,42,0.51
De Economist,1999,0.413,25,0.31
"Journal of Accounting, Auditing and Finance",1999,0.41,38,0.35
Japan and the World Economy,1999,0.399,28,0.15
National Institute Economic Review,1999,0.399,27,0.56
International Journal of Market Research,1999,0.393,43,0.48
Marine Resource Economics,1999,0.393,37,0.4
Journal of Post Keynesian Economics,1999,0.384,34,0.42
Journal of Macroeconomics,1999,0.375,37,0.25
Theory and Decision,1999,0.371,30,0.27
History of Political Economy,1999,0.368,25,0.19
Economic History Review,1999,0.366,41,0.75
Journal of Consumer Affairs,1999,0.36,49,0.72
Journal of Economic Studies,1999,0.355,30,0.45
Cato Journal,1999,0.351,26,0.39
Journal of Behavioral and Experimental Economics,1999,0.343,48,0.39
Applied Economics,1999,0.34,67,0.28
Computational Economics,1999,0.329,33,0.37
Australian Economic Papers,1999,0.326,11,0.38
International Journal of Electronic Commerce,1999,0.324,70,0.57
Review of Quantitative Finance and Accounting,1999,0.324,33,0.22
Australian Economic Review,1999,0.322,25,0.27
North American Actuarial Journal,1999,0.322,38,0.17
Economic Modelling,1999,0.32,50,0.37
Resources Policy,1999,0.319,50,0.53
Constitutional Political Economy,1999,0.318,23,0.35
Finance and Development,1999,0.314,28,0.51
Economist,1999,0.313,8,1.0
Journal of World Trade,1999,0.311,29,0.44
Journal of Economics/ Zeitschrift für Nationalokonomie,1999,0.305,26,0.15
International Marketing Review,1999,0.297,71,0.32
Agribusiness,1999,0.293,36,0.27
Applied Financial Economics,1999,0.29,44,0.31
Manchester School,1999,0.288,34,0.26
"Journal of International Financial Markets, Institutions and Money",1999,0.288,42,0.43
GENEVA Risk and Insurance Review,1999,0.286,17,0.3
Public Finance Review,1999,0.284,26,0.28
AgBioForum,1999,0.281,38,0.39
Journal of Institutional and Theoretical Economics,1999,0.277,30,0.21
International Review of Applied Economics,1999,0.275,31,0.36
Pulp and Paper Canada,1999,0.275,26,0.23
Engineering Economist,1999,0.273,28,0.26
Defence and Peace Economics,1999,0.269,31,0.28
Business and Professional Communication Quarterly,1999,0.266,28,0.27
Journal of International Management,1999,0.266,56,0.18
Review of Social Economy,1999,0.262,27,0.23
Canadian Journal of Agricultural Economics,1999,0.261,30,0.12
European Review of Agricultural Economics,1999,0.259,50,0.56
Journal of Economics and Business,1999,0.258,43,0.24
Review of Radical Political Economics,1999,0.257,23,0.17
International Journal of Sociology and Social Policy,1999,0.257,20,0.16
Indian Economic and Social History Review,1999,0.254,15,0.21
Journal of Media Economics,1999,0.247,26,0.28
Applied Economics Letters,1999,0.243,39,0.2
Structural Change and Economic Dynamics,1999,0.242,38,0.33
Family Business Review,1999,0.242,80,0.4
Economie et Statistique,1999,0.238,9,0.33
Research in Economics,1999,0.236,22,0.17
Berichte uber Landwirtschaft,1999,0.236,10,0.25
Open Economies Review,1999,0.232,27,0.19
Economic Systems Research,1999,0.229,45,0.14
Socio-Economic Planning Sciences,1999,0.227,41,0.04
Revista de Historia Economica - Journal of Iberian and Latin American Economic History,1999,0.226,15,0.3
Financial History Review,1999,0.226,15,0.5
Journal of Family and Economic Issues,1999,0.218,38,0.31
International Journal of Social Economics,1999,0.217,32,0.08
Fortune,1999,0.216,13,0.24
Atlantic Economic Journal,1999,0.216,19,0.17
Desarrollo Economico: Revista de Ciencias Sociales,1999,0.215,15,0.12
Agrekon,1999,0.215,19,0.15
Journal of Financial Counseling and Planning,1999,0.209,29,0.33
European Financial Management,1999,0.208,51,0.14
American Journal of Economics and Sociology,1999,0.208,31,0.32
Quarterly Review of Economics and Finance,1999,0.206,42,0.13
Journal of International Financial Management and Accounting,1999,0.203,30,0.2
Journal of Advanced Transportation,1999,0.202,31,0.11
Internet Research,1999,0.2,68,0.29
Developing Economies,1999,0.2,21,0.11
Journal of Policy Modeling,1999,0.199,40,0.16
Betriebswirtschaftliche Forschung und Praxis,1999,0.194,8,0.07
Revista Espanola de Financiacion y Contabilidad,1999,0.19,13,0.23
Journal of Financial Crime,1999,0.189,15,0.1
Australian Economic History Review,1999,0.189,13,0.13
International Journal of Accounting,1999,0.184,45,0.28
Review of Financial Economics,1999,0.184,32,0.07
Review of Political Economy,1999,0.182,22,0.0
China Information,1999,0.181,19,0.3
Local Economy,1999,0.18,30,0.17
Economic and Social Review,1999,0.178,22,0.19
IMA Journal Management Mathematics,1999,0.178,27,0.13
Mondes En Developpement,1999,0.177,9,0.06
Economics of Planning,1999,0.176,15,0.14
Tropical Science,1999,0.176,16,0.18
Annals of Public and Cooperative Economics,1999,0.175,29,0.14
South Asia Research,1999,0.172,12,0.0
Journal of Consumer Policy,1999,0.17,34,0.14
Crisis Intervention and Time-Limited Treatment,1999,0.168,9,0.16
International Trade Journal,1999,0.168,15,0.21
Journal des Economistes et des Etudes Humaines,1999,0.165,9,0.03
International Journal on Hydropower and Dams,1999,0.164,14,0.06
Financial Review,1999,0.164,37,0.13
University of Pennsylvania Journal of International Economic Law,1999,0.164,20,0.21
Hitotsubashi Journal of Economics,1999,0.163,8,0.1
Journal of Multinational Financial Management,1999,0.162,34,0.12
Asia-Pacific Financial Markets,1999,0.161,18,0.06
Politicka Ekonomie,1999,0.161,14,0.1
Asia Pacific Journal of Management,1999,0.16,60,0.43
Eastern European Economics,1999,0.158,17,0.28
Revue d'Etudes Comparatives Est-Ouest,1999,0.158,8,0.18
Agricultural History Review,1999,0.157,17,0.09
Public Budgeting and Finance,1999,0.157,20,0.05
International Review of Financial Analysis,1999,0.153,38,0.03
Managerial Finance,1999,0.153,31,0.09
European Journal of Law and Economics,1999,0.149,24,0.12
"Journal of International Accounting, Auditing and Taxation",1999,0.144,33,0.11
Journal of Asian Economics,1999,0.143,37,0.1
Asian Affairs,1999,0.143,11,0.13
Journal of International Economic Law,1999,0.142,41,0.2
Singapore Economic Review,1999,0.14,11,0.08
Business Information Review,1999,0.139,13,0.11
Social Marketing Quarterly,1999,0.139,21,0.03
New Zealand Economic Papers,1999,0.137,10,0.08
Bulletin of Economic Research,1999,0.137,24,0.05
South African Journal of Economics,1999,0.135,24,0.1
Jahrbucher für Nationalokonomie und Statistik,1999,0.134,17,0.1
International Review of Economics and Finance,1999,0.134,38,0.11
Accounting and Finance,1999,0.133,38,0.41
Politica Economica,1999,0.133,7,0.21
Journal of Economics and Finance,1999,0.133,25,0.04
"Peace Economics, Peace Science and Public Policy",1999,0.132,12,0.0
Trimestre Economico,1999,0.131,9,0.03
Managerial Auditing Journal,1999,0.13,43,0.05
Global Economic Review,1999,0.128,15,0.08
International Advances in Economic Research,1999,0.128,20,0.05
Space Policy,1999,0.128,18,0.1
Global Finance Journal,1999,0.127,26,0.08
Revue d'Economie du Developpement,1999,0.125,7,0.11
Journal of Hospitality Financial Management,1999,0.124,8,0.08
North American Journal of Economics and Finance,1999,0.124,29,0.18
Courrier des Pays de l'Est,1999,0.121,4,0.0
Business Economics,1999,0.121,9,0.0
International Economic Journal,1999,0.121,11,0.0
Recherches economiques de Louvain,1999,0.121,7,0.0
Comparative economic studies,1999,0.121,14,0.0
"Journal of Social, Political, and Economic Studies",1999,0.121,8,0.0
Environmental Economics and Policy Studies,1999,0.121,15,0.0
Metroeconomica,1999,0.121,23,0.09
Economic and Labour Relations Review,1999,0.12,12,0.23
Contributions to Political Economy,1999,0.119,15,0.09
International Social Security Review,1999,0.118,21,0.08
Journal of the Economic and Social History of the Orient,1999,0.117,22,0.04
Acta Oeconomica,1999,0.113,10,0.11
Review of Austrian Economics,1999,0.112,28,0.0
International Paperworld IPW,1999,0.112,6,0.02
Review of Marketing & Agricultural Economics,1999,0.111,5,0.0
Economic Analysis and Policy,1999,0.111,18,0.08
Property Management,1999,0.111,21,0.04
Journal of Financial Regulation and Compliance,1999,0.111,14,0.02
Economic and Political Weekly,1999,0.11,39,1.0
Sociologia del lavoro,1999,0.11,1,0.0
Economic Outlook,1999,0.11,6,0.0
Emerging Markets Finance and Trade,1999,0.109,24,0.0
Intereconomics,1999,0.108,17,0.05
Banking Law Journal,1999,0.105,5,0.02
Review of Black Political Economy,1999,0.104,13,0.0
Humanomics,1999,0.103,12,0.03
Journal of Corporate Real Estate,1999,0.103,19,0.0
Indian Journal of Labour Economics,1999,0.103,10,0.01
Jahrbuch für Wirtschaftsgeschichte,1999,0.103,8,0.0
Decisions in Economics and Finance,1999,0.103,12,0.0
Etudes Rurales,1999,0.102,8,0.0
Journal of International Studies,1999,0.102,0,0.0
Studies in Economics and Finance,1999,0.101,13,0.0
Real Estate Taxation,1999,0.101,2,0.0
Journal of Taxation,1999,0.101,7,0.4
The Forum for Social Economics,1999,0.101,5,0.08
OPEC Bulletin,1999,0.101,2,0.05
International Insolvency Review,1999,0.101,6,0.05
Zeitschrift für die gesamte Versicherungswissenschaft,1999,0.101,5,0.0
Economic Change and Restructuring,1999,0.101,15,0.0
Journal of Entrepreneurship,1999,0.1,11,0.0
Asian Review of Accounting,1999,0.1,15,0.0
Review of Economic Conditions in Italy,1999,0.1,5,0.0
Statistical Journal of the IAOS,1999,0.1,12,0.0
International Woodfiber Report,1999,0.1,1,0.0
Ekonomicky Casopis,1999,0.1,14,0.0
Finance a Uver,1999,0.1,15,0.0
Foresight,1999,0.0,24,0.0
New Perspectives on Turkey,1999,0.0,13,0.0
Geneva Papers on Risk and Insurance: Issues and Practice,1999,0.0,25,0.0
Middle East Economic Survey,1999,0.0,1,0.0
Venture Capital,1999,0.0,39,0.0
"Environment, Development and Sustainability",1999,0.0,43,0.0
African Economic History,1999,0.0,7,0.0
European Review of Economic History,1999,0.0,29,0.0
Journal of European Economic History,1999,0.0,3,0.0
Journal of Bioeconomics,1999,0.0,21,0.0
Journal of Property Investment and Finance,1999,0.0,28,0.0
Journal of Supply Chain Management,1999,0.0,71,0.0
Journal of Public Economic Theory,1999,0.0,28,0.0
South African Journal of Economic and Management Sciences,1999,0.0,11,0.0
Vierteljahresschrift fur Sozial und Wirtschaftsgeschichte,1999,0.0,5,0.0
Asian Affairs,1999,0.0,4,0.0
Journal of Risk Finance,1999,0.0,24,0.0
Quarterly Journal of Economics,2000,17.5,219,4.33
Journal of Economic Literature,2000,14.575,140,7.76
Econometrica,2000,11.593,158,1.81
Brookings Papers on Economic Activity,2000,11.489,70,6.05
Journal of Political Economy,2000,9.302,159,2.54
Journal of Finance,2000,9.222,249,3.64
Review of Economic Studies,2000,8.617,118,1.77
Journal of Financial Economics,2000,7.393,206,3.02
Review of Financial Studies,2000,6.98,145,1.82
Journal of Economic Perspectives,2000,5.632,162,3.11
American Economic Review,2000,5.445,237,1.99
Journal of Economic Growth,2000,3.878,72,0.84
Journal of Economic Theory,2000,3.804,84,0.67
Review of Economic Dynamics,2000,3.737,52,0.84
Journal of Monetary Economics,2000,3.717,107,1.01
Journal of Labor Economics,2000,3.68,90,1.3
Journal of Marketing,2000,3.652,208,3.58
Accounting Review,2000,3.605,125,2.04
RAND Journal of Economics,2000,3.449,92,1.31
Journal of Consumer Research,2000,3.445,146,2.6
Journal of Accounting Research,2000,3.229,113,1.83
Journal of Financial and Quantitative Analysis,2000,3.195,97,1.17
Journal of Human Resources,2000,3.145,86,1.33
Journal of Marketing Research,2000,3.132,141,2.06
Journal of International Economics,2000,3.043,113,1.46
Economic Journal,2000,2.994,134,1.62
Marketing Science,2000,2.901,108,1.71
"Journal of Money, Credit and Banking",2000,2.848,91,1.09
Social Choice and Welfare,2000,2.829,42,0.77
Journal of Accounting and Economics,2000,2.795,122,1.8
Review of Economics and Statistics,2000,2.656,134,1.16
Economic Theory,2000,2.634,49,0.4
Games and Economic Behavior,2000,2.618,79,0.52
Post-Soviet Affairs,2000,2.609,36,1.46
European Economic Review,2000,2.604,110,1.06
Journal of Economic Dynamics and Control,2000,2.529,75,0.58
International Economic Review,2000,2.496,74,1.03
Macroeconomic Dynamics,2000,2.452,39,0.6
Review of Derivatives Research,2000,2.445,24,1.2
Journal of Public Economics,2000,2.388,115,0.99
Mathematical Finance,2000,2.371,65,1.31
Journal of Econometrics,2000,2.281,127,1.27
Harvard Business Review,2000,2.249,154,3.61
Journal of Financial Intermediation,2000,2.245,63,0.63
Economic Policy,2000,2.234,63,2.54
Econometric Theory,2000,2.189,58,0.62
Journal of Financial Markets,2000,2.103,49,1.07
Journal of Urban Economics,2000,2.071,89,1.04
Review of International Political Economy,2000,2.038,56,1.7
Journal of Environmental Economics and Management,2000,2.003,101,1.26
Journal of Economics and Management Strategy,2000,1.994,58,0.63
Contemporary Accounting Research,2000,1.987,77,1.12
Journal of Business,2000,1.912,81,1.62
Journal of International Business Studies,2000,1.904,156,1.39
Economic Geography,2000,1.834,71,1.98
"Journal of Law, Economics, and Organization",2000,1.753,60,1.17
Journal of Management,2000,1.705,176,1.51
International Journal of Game Theory,2000,1.65,37,0.43
National Tax Journal,2000,1.605,49,0.5
Journal of Empirical Finance,2000,1.536,63,0.52
Journal of Population Economics,2000,1.529,63,0.44
Real Estate Economics,2000,1.519,52,0.89
Land Economics,2000,1.504,73,1.04
"Journal of the Royal Statistical Society. Series A, (Statistics in Society)",2000,1.481,67,1.36
Economic Inquiry,2000,1.444,61,0.79
Journal of Industrial Economics,2000,1.431,67,1.3
Journal of Development of Economics,2000,1.412,115,0.7
Journal of Business and Economic Statistics,2000,1.382,80,0.74
World Bank Economic Review,2000,1.382,77,1.07
Journal of Risk and Uncertainty,2000,1.315,62,0.84
Oxford Economic Papers,2000,1.303,60,1.0
Journal of Banking and Finance,2000,1.24,126,0.81
Journal of the Academy of Marketing Science,2000,1.229,139,2.0
Journal of Comparative Economics,2000,1.223,69,1.22
Structural Equation Modeling,2000,1.207,79,1.87
Economica,2000,1.176,54,0.74
Financial Management,2000,1.167,56,0.85
Journal of Real Estate Finance and Economics,2000,1.159,53,0.75
Journal of Economic Surveys,2000,1.156,76,0.76
Journal of Industrial Ecology,2000,1.116,80,1.17
Entrepreneurship and Regional Development,2000,1.109,69,1.24
Journal of World Business,2000,1.108,87,0.92
Economics of Transition,2000,1.099,44,0.94
Theory and Decision,2000,1.091,30,0.51
Marketing Letters,2000,1.04,55,0.53
Energy Economics,2000,1.036,109,0.59
Journal of Economic Education,2000,1.009,41,0.33
Financial Analysts Journal,2000,1.008,66,0.64
Journal of Derivatives,2000,0.979,39,0.42
Journal of Economic History,2000,0.979,50,0.49
Journal of Mathematical Economics,2000,0.975,35,0.31
Economic History Review,2000,0.965,41,0.79
Resources and Energy Economics,2000,0.964,57,0.66
International Tax and Public Finance,2000,0.964,43,0.51
World Development,2000,0.952,140,1.25
Auditing,2000,0.942,58,0.52
Industrial and Corporate Change,2000,0.915,92,0.53
Journal of Law and Economics,2000,0.915,71,0.97
Cambridge Journal of Economics,2000,0.914,70,1.43
Journal of International Money and Finance,2000,0.909,77,0.78
American Journal of Agricultural Economics,2000,0.873,90,0.78
Journal of Economic Behavior and Organization,2000,0.869,94,0.64
Scandinavian Actuarial Journal,2000,0.855,30,0.89
World Bank Research Observer,2000,0.841,55,1.21
Journal of Common Market Studies,2000,0.831,76,1.18
European Journal of Political Economy,2000,0.828,65,0.4
Japan and the World Economy,2000,0.805,28,0.17
Journal of the Japanese and International Economies,2000,0.801,34,0.37
Review of Economic Design,2000,0.789,21,0.37
Energy Journal,2000,0.777,64,0.91
Ecological Economics,2000,0.774,161,1.16
Review of Income and Wealth,2000,0.773,47,0.43
Journal of Evolutionary Economics,2000,0.772,61,0.55
"Work, Employment and Society",2000,0.768,64,0.91
Insurance: Mathematics and Economics,2000,0.763,62,0.56
Journal of Applied Econometrics,2000,0.761,81,0.48
Regional Science and Urban Economics,2000,0.745,63,0.46
Eurasian Geography and Economics,2000,0.745,36,0.67
Environmental and Resource Economics,2000,0.741,77,0.69
International Finance,2000,0.739,34,0.68
ASTIN Bulletin,2000,0.739,35,0.66
Oxford Review of Economic Policy,2000,0.738,73,1.15
World Economy,2000,0.731,58,0.81
Canadian Journal of Economics,2000,0.728,58,0.34
Journal of Portfolio Management,2000,0.722,42,0.47
Journal of Financial Research,2000,0.72,41,0.4
Journal of Transport Economics and Policy,2000,0.71,46,0.68
Europe-Asia Studies,2000,0.703,47,0.87
Scandinavian Journal of Economics,2000,0.7,55,0.5
Economic Development and Cultural Change,2000,0.698,59,0.92
National Institute Economic Review,2000,0.669,27,0.42
Post-Communist Economies,2000,0.652,22,0.43
Economy and Society,2000,0.648,78,0.75
"Journal of Accounting, Auditing and Finance",2000,0.648,38,0.47
Local Economy,2000,0.634,30,0.58
Critical Perspectives on Accounting,2000,0.63,52,0.67
Oxford Bulletin of Economics and Statistics,2000,0.628,61,0.57
Journal of Regulatory Economics,2000,0.627,48,0.65
Contemporary Economic Policy,2000,0.621,41,0.45
Journal of Risk and Insurance,2000,0.617,53,0.54
Journal of Productivity Analysis,2000,0.614,61,0.68
Economics of Education Review,2000,0.611,65,0.29
Review of Industrial Organization,2000,0.608,49,0.33
Small Business Economics,2000,0.607,98,0.69
Bulletin of Indonesian Economic Studies,2000,0.6,27,1.53
Southern Economic Journal,2000,0.597,47,0.56
Journal of International Marketing,2000,0.589,73,0.79
International Journal of Business Communication,2000,0.579,44,0.4
Economics Letters,2000,0.579,77,0.3
Fiscal Studies,2000,0.565,34,0.61
Public Choice,2000,0.565,65,0.37
"Resources, Conservation and Recycling",2000,0.55,94,0.52
International Review of Law and Economics,2000,0.538,37,0.57
Journal of Public Economic Theory,2000,0.534,28,0.38
Journal of Macroeconomics,2000,0.534,37,0.31
Journal of Agricultural and Resource Economics,2000,0.531,40,0.57
"Accounting, Auditing and Accountability Journal",2000,0.525,76,0.49
GENEVA Risk and Insurance Review,2000,0.523,17,0.38
Journal of Financial Services Research,2000,0.522,44,0.34
Journal of African Economies,2000,0.52,37,0.47
Economic Systems Research,2000,0.52,45,1.31
Defence and Peace Economics,2000,0.511,31,0.53
Australian Journal of Agricultural and Resource Economics,2000,0.511,41,0.78
Business Ethics Quarterly,2000,0.509,57,0.66
International Journal of Finance and Economics,2000,0.509,33,0.33
Computational Economics,2000,0.506,33,0.57
Education Economics,2000,0.498,27,0.2
New England Economic Review,2000,0.497,21,0.38
Scottish Journal of Political Economy,2000,0.494,42,0.51
Journal of Institutional and Theoretical Economics,2000,0.491,30,0.43
Economic Development Quarterly,2000,0.482,40,0.48
International Journal of Production Economics,2000,0.472,141,0.3
