Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories;Unnamed: 19
11;22738;Philosophy and Public Affairs;journal;10884963, 00483915;7.045;Q1;61;10;33;488;140;30;2.5;48.8;United Kingdom;Blackwell Publishing Inc.;1973-1982, 1984-1986, 1988-2001, 2003-ongoing;"History and Philosophy of Science (Q1); Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1)";
12;24204;Review of Economics and Statistics;journal;00346535, 15309142;6.617;Q1;142;67;267;3060;1206;259;3.59;45.67;United States;MIT Press;1978-ongoing;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";
13;19684;Criminology;journal;111384;6.433;Q1;122;26;81;2314;538;80;5.29;89;United States;Wiley-Blackwell;1963-ongoing;"Law (Q1); Pathology and Forensic Medicine (Q1)";
14;15823;Journal of Public Administration Research and Theory;journal;14779803, 10531858;6.279;Q1;94;42;123;2826;601;123;4.31;67.29;United Kingdom;Oxford University Press;1991-ongoing;"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";
15;39139;International Organization;journal;15315088, 00208183;6.105;Q1;133;19;107;1487;449;106;3.57;78.26;United Kingdom;Cambridge University Press;1947-ongoing;"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
16;22899;Journal of Consumer Research;journal;00935301, 15375277;5.694;Q1;155;61;232;3776;1291;214;4.84;61.9;United Kingdom;Oxford University Press;1977-1978, 1984, 1996-ongoing;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";
17;25725;World Politics;journal;00438871, 10863338;5.437;Q1;99;15;67;1324;313;65;4.36;88.27;United Kingdom;Cambridge University Press;1948-ongoing;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
18;21100261712;Analytic Methods in Accident Research;journal;22136657;5.319;Q1;23;15;30;876;240;30;8;58.4;United Kingdom;Elsevier BV;2013-ongoing;"Safety Research (Q1); Transportation (Q1)";
19;25835;International Security;journal;15314804, 01622889;4.982;Q1;97;34;90;2411;333;57;3.74;70.91;United States;MIT Press;1984, 1996-ongoing;"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
20;15646;Annual Review of Political Science;book series;10942939, 15451577;4.823;Q1;94;29;72;2845;359;71;3.7;98.1;United States;Annual Reviews Inc.;1998-ongoing;Sociology and Political Science (Q1);
21;144974;Journal of Service Research;journal;10946705;4.818;Q1;105;29;99;1738;689;95;8.24;59.93;United States;SAGE Publications;1998-ongoing;"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";
22;16929;American Sociological Review;journal;31224;4.678;Q1;174;51;149;4358;850;146;5.22;85.45;United States;SAGE Publications;1965-ongoing;Sociology and Political Science (Q1);
23;20333;Journal of Politics;journal;14682508, 00223816;4.658;Q1;105;85;248;5062;713;246;2.17;59.55;United Kingdom;University of Chicago Press;1968, 1977, 1980-1981, 1984-1986, 1991, 1996-ongoing;Sociology and Political Science (Q1);
24;16976;Annual Review of Sociology;journal;03600572, 15452115;4.64;Q1;151;23;80;3228;585;80;6.89;140.35;United States;Annual Reviews Inc.;1975, 1977, 1980-1981, 1983-ongoing;Sociology and Political Science (Q1);
25;145558;Political Analysis;journal;10471987, 14764989;4.474;Q1;59;41;97;1272;431;91;3.83;31.02;United Kingdom;Cambridge University Press;1989-1993, 2004-ongoing;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
26;30039;Journal of Personality and Social Psychology;journal;223514;4.443;Q1;328;117;378;8761;2373;355;6.14;74.88;United States;American Psychological Association;1965-ongoing;"Social Psychology (Q1); Sociology and Political Science (Q1)";
27;19751;Stanford Law Review;journal;389765;4.425;Q1;62;27;84;6655;240;70;3.55;246.48;United States;Stanford Law Review;1974-1976, 1978-1979, 1987-1994, 1996-ongoing;"Law (Q1); Medicine (miscellaneous) (Q1)";
28;29432;American Educational Research Journal;journal;28312;4.321;Q1;103;56;118;4042;688;115;4.99;72.18;United States;SAGE Publications;1978, 1982, 1986, 1996-ongoing;Education (Q1);
29;145507;Cybermetrics;journal;11375019;4.297;Q1;13;0;2;0;11;2;0;0;Spain;Centro de Informacion y Documentacion Cientifica;1997, 1999-2002, 2004-2013, 2015;Library and Information Sciences (Q1);
30;16926;American Journal of Sociology;journal;00029602, 15375390;4.289;Q1;160;46;99;3624;455;98;3.51;78.78;United States;University of Chicago Press;1948-1950, 1964-ongoing;Sociology and Political Science (Q1);
31;15574;Information Systems Research;journal;15265536, 10477047;4.283;Q1;145;52;162;3757;1227;154;5.46;72.25;United States;Institute for Operations Research and the Management Sciences;1990-ongoing;"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";
32;11600153640;Quarterly Journal of Political Science;journal;15540634, 15540626;4.201;Q1;29;11;46;570;116;43;2.18;51.82;United States;Now Publishers Inc.;2006-ongoing;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
33;16232;British Journal of Political Science;journal;00071234, 14692112;4.187;Q1;85;24;143;1318;468;135;3.59;54.92;United Kingdom;Cambridge University Press;1971-ongoing;Sociology and Political Science (Q1);
34;14834;Journal of Development of Economics;journal;3043878;4.17;Q1;123;82;305;4055;965;298;2.15;49.45;Netherlands;Elsevier BV;1974-ongoing;"Development (Q1); Economics and Econometrics (Q1)";
35;5800194481;Educational Researcher;journal;0013189X;4.142;Q1;112;52;141;2443;855;131;6.17;46.98;United States;SAGE Publications Inc.;1972-ongoing;Education (Q1);
36;22478;Journal of Memory and Language;journal;10960821, 0749596X;4.102;Q1;129;65;180;4602;1038;180;3.22;70.8;United States;Elsevier Inc.;1985-ongoing;"Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)";
37;13447;Comparative Political Studies;journal;104140;3.943;Q1;95;64;191;4191;756;190;3.06;65.48;United States;SAGE Publications;1968-ongoing;Sociology and Political Science (Q1);
38;16512;Review of Educational Research;journal;346543;3.853;Q1;132;34;54;4354;482;54;5.5;128.06;United States;SAGE Publications;1931-ongoing;Education (Q1);
39;12442;Progress in Human Geography;journal;14770288, 03091325;3.815;Q1;131;52;170;4884;1055;164;6.24;93.92;United States;SAGE Publications;1977-ongoing;Geography, Planning and Development (Q1);
40;27663;Journal of Conflict Resolution;journal;220027;3.747;Q1;94;41;174;2666;473;169;2.67;65.02;United States;SAGE Publications;1957-ongoing;"Business, Management and Accounting (miscellaneous) (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
41;36483;Global Environmental Change;journal;9593780;3.632;Q1;147;114;482;8861;4019;472;7.54;77.73;Netherlands;Elsevier BV;1990-ongoing;"Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1)";
42;22750;Journal of Economic Geography;journal;14682702, 14682710;3.608;Q1;88;47;134;2820;623;134;4.02;60;United Kingdom;Oxford University Press;2001-ongoing;"Economics and Econometrics (Q1); Geography, Planning and Development (Q1)";
43;13354;Journal of Teacher Education;journal;224871;3.593;Q1;77;33;113;1872;565;93;5.34;56.73;United States;SAGE Publications;1950-ongoing;Education (Q1);
44;13143;Columbia Law Review;journal;101958;3.592;Q1;60;42;130;9691;275;106;2.69;230.74;United States;Columbia Law Review Association;1973-1981, 1984, 1987-1988, 1990, 1992-ongoing;Law (Q1);
45;26362;Journal of Peace Research;journal;223433;3.586;Q1;86;56;167;3500;524;165;2.91;62.5;United States;SAGE Publications;1964-ongoing;"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1)";
46;22856;Yale Law Journal;journal;440094;3.524;Q1;70;55;184;11243;426;148;2.98;204.42;United States;Yale Journal Co., Inc.;1973-1975, 1977-1979, 1981, 1983, 1985-1991, 1994, 1996-ongoing;Law (Q1);
47;12872;Cognitive Psychology;journal;10955623, 00100285;3.477;Q1;108;36;86;2697;429;86;3.81;74.92;United States;Elsevier Inc.;1970-ongoing;"Artificial Intelligence (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)";
48;19878;Journal of European Public Policy;journal;14664429, 13501763;3.38;Q1;92;88;260;4224;952;247;3.94;48;United Kingdom;Routledge;1994-ongoing;"Public Administration (Q1); Sociology and Political Science (Q1)";
49;20377;Journal of Quantitative Criminology;journal;07484518, 15737799;3.362;Q1;72;34;84;2064;342;80;4.12;60.71;Netherlands;Kluwer Academic Publishers;1985-ongoing;"Law (Q1); Pathology and Forensic Medicine (Q1)";
50;24456;Child Development;journal;14678624, 00093920;3.318;Q1;228;151;456;7924;2467;448;4.88;52.48;United States;Blackwell Publishing Inc.;1945-1948, 1950-ongoing;"Developmental and Educational Psychology (Q1); Education (Q1); Pediatrics, Perinatology and Child Health (Q1); Social Work (Q1)";
51;25848;International Studies Quarterly;journal;14682478, 00208833;3.281;Q1;88;71;203;4761;562;203;2.48;67.06;United Kingdom;Oxford University Press;1978, 1985, 1989-ongoing;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
52;21100451321;Scientific data;journal;20524463;3.261;Q1;35;121;131;5062;709;120;5.91;41.83;United Kingdom;Nature Publishing Group;2014-ongoing;"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";
53;22832;Political Behavior;journal;01909320, 15736687;3.239;Q1;59;40;122;2424;331;116;2.71;60.6;United States;Kluwer Academic/Plenum Publishers;1979-ongoing;Sociology and Political Science (Q1);
54;14813;Journal of Travel Research;journal;472875;3.188;Q1;114;57;191;4408;933;189;4.05;77.33;United States;SAGE Publications;1969-ongoing;"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q1)";
55;13900154713;Child Development Perspectives;journal;17508606, 17508592;3.177;Q1;55;45;136;1925;762;135;4.6;42.78;United States;Wiley-Blackwell;2008-ongoing;"Developmental and Educational Psychology (Q1); Life-span and Life-course Studies (Q1); Pediatrics, Perinatology and Child Health (Q1)";
56;18437;European Journal of Political Research;journal;03044130, 14756765;3.164;Q1;83;46;128;2405;420;128;2.9;52.28;United Kingdom;Blackwell Publishing Inc.;1973-ongoing;Sociology and Political Science (Q1);
57;16514;Review of Research in Education;journal;0091732X;3.142;Q1;50;23;36;4243;182;33;2.87;184.48;United States;SAGE Publications;1973-1981, 1983-1988, 1990-2000, 2002-ongoing;Education (Q1);
58;20388;Justice Quarterly;journal;7418825;3.105;Q1;77;50;133;3277;510;129;3.67;65.54;United Kingdom;Taylor & Francis;1984-ongoing;"Law (Q1); Pathology and Forensic Medicine (Q1)";
59;19726;Educational Evaluation and Policy Analysis;journal;1623737;3.1;Q1;67;24;100;1276;299;98;2.76;53.17;United States;SAGE Publications;1979-1982, 1996-ongoing;Education (Q1);
60;26365;Demography;journal;00703370, 15337790;3.09;Q1;115;85;301;4945;1031;284;3.1;58.18;United States;Springer New York LLC;1964-ongoing;Demography (Q1);
61;28464;Econometric Theory;journal;02664666, 14694360;3.068;Q1;61;26;158;1144;178;150;0.88;44;United Kingdom;Cambridge University Press;1985-ongoing;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";
62;13358;Sociology of Education;journal;380407;3.051;Q1;82;23;61;1214;209;58;4.36;52.78;United States;SAGE Publications;1980, 1983, 1992, 1996-ongoing;"Education (Q1); Sociology and Political Science (Q1)";
63;23621;Journal of Research in Science Teaching;journal;10982736, 00224308;3.007;Q1;114;64;168;4192;658;160;3.73;65.5;United States;John Wiley & Sons Inc.;1963-1967, 1969-ongoing;Education (Q1);
64;16965;Internet and Higher Education;journal;10967516;2.977;Q1;75;38;103;2309;687;99;6.25;60.76;United Kingdom;Elsevier Ltd.;1998-ongoing;"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";
65;17148;Tobacco Control;journal;09644563, 14683318;2.948;Q1;109;184;535;6348;2316;431;5.49;34.5;United Kingdom;BMJ Publishing Group;1996-ongoing;"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)";
66;17600155103;Living Reviews in European Governance;journal;1813856X;2.947;Q1;10;0;3;0;16;3;6;0;Austria;Institute for Advanced Studies, Department of Political Science;2009-2015;Political Science and International Relations (Q1);
67;15670;Journal of Peasant Studies;journal;3066150;2.946;Q1;68;57;163;4591;728;143;4.86;80.54;United Kingdom;Frank Cass Publishers;1973-ongoing;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1)";
68;13892;International Journal of Urban and Regional Research;journal;03091317, 14682427;2.918;Q1;95;68;332;4959;1146;322;3.25;72.93;United Kingdom;Blackwell Publishing Inc.;1977-ongoing;"Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";
69;13455;Learning and Instruction;journal;9594752;2.874;Q1;98;61;174;3480;917;170;5.11;57.05;United Kingdom;Elsevier Ltd.;1991-ongoing;"Developmental and Educational Psychology (Q1); Education (Q1)";
70;21203;Long Range Planning;journal;246301;2.873;Q1;89;50;87;4236;502;75;4.66;84.72;United Kingdom;Elsevier Ltd.;1968-ongoing;"Finance (Q1); Geography, Planning and Development (Q1); Strategy and Management (Q1)";
71;15298;Structural Equation Modeling;journal;15328007, 10705511;2.857;Q1;84;61;135;2315;420;134;2.56;37.95;United States;Lawrence Erlbaum Associates Inc.;1994-ongoing;"Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Modeling and Simulation (Q1); Sociology and Political Science (Q1)";
72;20892;Transportation Research Part B: Methodological;journal;1912615;2.844;Q1;118;197;434;8585;2119;429;4.48;43.58;United Kingdom;Elsevier Ltd.;1979-ongoing;"Civil and Structural Engineering (Q1); Management Science and Operations Research (Q1); Transportation (Q1)";
73;14925;Gender and Society;journal;8912432;2.839;Q1;89;34;115;1851;430;111;3.55;54.44;United States;SAGE Publications;1987-ongoing;"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)";
74;17167;Public Administration Review;journal;00333352, 15406210;2.811;Q1;115;151;386;4299;836;252;2.64;28.47;United Kingdom;Wiley-Blackwell;1978-1983, 1985, 1988, 1996-ongoing;"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";
75;26239;Quaternary Science Reviews;journal;2773791;2.795;Q1;164;378;1014;37013;5237;953;5.17;97.92;United Kingdom;Elsevier Ltd.;1982-ongoing;"Archeology (Q1); Archeology (arts and humanities) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Geology (Q1); Global and Planetary Change (Q1)";
76;4000148701;Perspectives on Politics;journal;15375927;2.79;Q1;69;67;194;2817;496;178;3.71;42.04;United Kingdom;Cambridge University Press;2003-ongoing;Political Science and International Relations (Q1);
77;4700152638;Review of International Organizations;journal;1559744X, 15597431;2.785;Q1;29;19;59;1471;188;56;3.26;77.42;Germany;Springer Verlag;2006-ongoing;"Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1)";
78;18927;Journal of Human Evolution;journal;00472484, 10958606;2.781;Q1;112;118;401;10487;1689;389;4.04;88.87;United States;Elsevier Inc.;1972-ongoing;"Anthropology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Education (Q1)";
79;24592;European Journal of International Relations;journal;13540661;2.78;Q1;79;29;136;2505;476;134;2.84;86.38;United States;SAGE Publications;1995-ongoing;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
80;29161;ISPRS Journal of Photogrammetry and Remote Sensing;journal;9242716;2.773;Q1;110;171;506;9680;3631;497;7.33;56.61;Netherlands;Elsevier BV;1989-ongoing;"Atomic and Molecular Physics, and Optics (Q1); Computer Science Applications (Q1); Computers in Earth Sciences (Q1); Engineering (miscellaneous) (Q1); Geography, Planning and Development (Q1)";
81;12857;Cognition;journal;100277;2.772;Q1;165;248;567;13467;2220;547;3.62;54.3;Netherlands;Elsevier BV;1972-1974, 1976-ongoing;"Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
82;15613;Journal of Communication;journal;00219916, 14602466;2.735;Q1;112;53;181;3298;856;176;4.71;62.23;United States;Wiley-Blackwell;1951-ongoing;"Communication (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
83;13500;Developmental Psychology;journal;121649;2.731;Q1;190;180;620;10976;2796;610;3.78;60.98;United States;American Psychological Association;1969-ongoing;"Demography (Q1); Developmental and Educational Psychology (Q1); Life-span and Life-course Studies (Q1)";
84;17700155020;Handbook of Regional and Urban Economics;book series;15740080;2.723;Q1;29;0;25;0;58;1;58;0;Netherlands;Elsevier BV;1987, 1999, 2004, 2015;"Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)";
85;27470;Antipode;journal;00664812, 14678330;2.716;Q1;89;71;215;5465;790;214;3.46;76.97;United Kingdom;Blackwell Publishing Inc.;1969-ongoing;"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)";
86;24406;Journal of Urban Economics;journal;10959068, 00941190;2.701;Q1;95;50;142;2255;353;140;2.13;45.1;United States;Elsevier Inc.;1974-ongoing;"Economics and Econometrics (Q1); Urban Studies (Q1)";
87;15039;African Affairs;journal;00019909, 14682621;2.674;Q1;60;38;101;2759;298;92;3;72.61;United Kingdom;Oxford University Press;1901-ongoing;"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";
88;28092;Economic Geography;journal;130095;2.666;Q1;74;18;55;1457;231;51;4.85;80.94;United Kingdom;Taylor & Francis;1972, 1974, 1978-1985, 1987-ongoing;"Economics and Econometrics (Q1); Geography, Planning and Development (Q1)";
89;19875;Journal of Common Market Studies;journal;14685965, 00219886;2.658;Q1;80;99;281;5115;892;275;3.02;51.67;United Kingdom;Blackwell Publishing Inc.;1962-ongoing;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Political Science and International Relations (Q1)";
90;17645;Computers and Education;journal;3601315;2.654;Q1;149;162;744;10327;4491;740;5.22;63.75;United Kingdom;Elsevier Ltd.;1976-2001, 2003-ongoing;"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)";
91;28964;Journal of Applied Econometrics;journal;10991255, 08837252;2.654;Q1;88;74;174;2715;534;173;2.72;36.69;United States;John Wiley & Sons Inc.;1986-ongoing;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";
92;12808;Journal of Educational Psychology;journal;220663;2.652;Q1;177;71;260;5481;1416;249;4.38;77.2;United States;American Psychological Association;1910-ongoing;"Developmental and Educational Psychology (Q1); Education (Q1)";
93;15806;International Public Management Journal;journal;10967494;2.65;Q1;37;22;76;1712;165;70;1.67;77.82;United Kingdom;Taylor & Francis;1998-ongoing;"Business and International Management (Q1); Public Administration (Q1)";
94;16547;Tourism Management;journal;2615177;2.648;Q1;159;191;502;15077;3068;499;5.63;78.94;United Kingdom;Butterworth-Heinemann;1982-ongoing;"Development (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q1)";
95;19700201158;Studies in Science Education;journal;19408412, 03057267;2.643;Q1;39;5;19;583;72;18;3.17;116.6;United Kingdom;Taylor and Francis Inc.;1974-ongoing;Education (Q1);
96;13502;Developmental Review;journal;02732297, 10902406;2.642;Q1;78;14;67;2158;375;63;5.32;154.14;United States;Elsevier Inc.;1981-ongoing;"Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)";
97;20444;Legislative Studies Quarterly;journal;3629805;2.626;Q1;48;36;77;1710;99;65;1.16;47.5;United States;Wiley-Blackwell;1996-ongoing;Sociology and Political Science (Q1);
98;30020;Journal of Organizational Behavior;journal;10991379, 08943796;2.624;Q1;152;74;222;5794;1016;210;4.02;78.3;United States;John Wiley & Sons Inc.;1981-1982, 2019, 1984-ongoing;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)";
99;66374;Journal of Educational Measurement;journal;220655;2.617;Q1;43;25;78;789;200;75;1.26;31.56;United Kingdom;Blackwell Publishing Inc.;1964-ongoing;"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Psychology (miscellaneous) (Q1)";
100;17162;Public Administration;journal;14679299, 00333298;2.605;Q1;81;75;196;3687;636;195;3.31;49.16;United Kingdom;Wiley-Blackwell;1923-ongoing;"Public Administration (Q1); Sociology and Political Science (Q1)";
101;27162;Journal of Business and Economic Statistics;journal;07350015, 15372707;2.59;Q1;84;51;150;1917;253;120;1.7;37.59;United Kingdom;Taylor & Francis;1983-ongoing;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";
102;13268;Scientific Studies of Reading;journal;10888438;2.572;Q1;51;34;83;1868;292;80;3.59;54.94;United States;Lawrence Erlbaum Associates Inc.;2004-ongoing;"Education (Q1); Psychology (miscellaneous) (Q1)";
103;20910;Transportation Science;journal;15265447, 00411655;2.564;Q1;99;84;144;3173;596;139;4.04;37.77;United States;Institute for Operations Research and the Management Sciences;1969-ongoing;"Civil and Structural Engineering (Q1); Transportation (Q1)";
104;5700162364;Journal of European Integration;journal;07036337, 14772280;2.555;Q1;28;57;145;2404;426;139;2.71;42.18;United Kingdom;Routledge;1970, 1977-1995, 2010-ongoing;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
105;22340;Research on Language and Social Interaction;journal;08351813, 15327973;2.547;Q1;51;23;66;1209;174;65;2.38;52.57;United States;Lawrence Erlbaum Associates Inc.;1987-1991, 1993-ongoing;"Communication (Q1); Linguistics and Language (Q1); Social Psychology (Q1)";
106;29214;Transactions of the Institute of British Geographers;journal;202754;2.547;Q1;96;44;144;3405;601;138;3.62;77.39;United Kingdom;Blackwell Publishing Inc.;1976-ongoing;"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)";
107;83061;Journal of Archaeological Research;journal;15737756, 10590161;2.543;Q1;50;9;27;3630;125;26;4.56;403.33;United States;Kluwer Academic/Plenum Publishers;1993-ongoing;"Archeology (Q1); Archeology (arts and humanities) (Q1); Arts and Humanities (miscellaneous) (Q1)";
108;20436;Texas Law Review;journal;404411;2.532;Q1;43;39;116;6524;195;96;2.33;167.28;United States;University of Texas at Austin;1977, 1981-1982, 1987, 1990, 1992, 1994, 1996-ongoing;Law (Q1);
109;4700152248;Educational Research Review;journal;1747938X;2.528;Q1;51;24;64;1871;387;56;5.47;77.96;Netherlands;Elsevier BV;2006-ongoing;Education (Q1);
110;19088;Governance;journal;09521895, 14680491;2.523;Q1;67;35;102;1558;385;90;3.05;44.51;United Kingdom;Blackwell Publishing Inc.;1988-ongoing;"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";
111;28094;Accounting, Organizations and Society;journal;3613682;2.508;Q1;116;40;118;3408;418;114;2.68;85.2;United Kingdom;Elsevier Ltd.;1976-ongoing;"Accounting (Q1); Applied Psychology (Q1); Information Systems and Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";
112;19725;Educational Administration Quarterly;journal;0013161X;2.498;Q1;65;25;75;1823;251;74;3.16;72.92;United States;SAGE Publications;1965-ongoing;"Education (Q1); Public Administration (Q1)";
113;1000147124;European Union Politics;journal;14651165;2.465;Q1;57;26;97;1234;218;94;2.14;47.46;United States;SAGE Publications;2000-ongoing;"Demography (Q1); Health (social science) (Q1); Political Science and International Relations (Q1)";
114;19400158483;Social Issues and Policy Review;journal;17512409, 17512395;2.464;Q1;27;8;22;956;143;22;7.73;119.5;United Kingdom;Blackwell Publishing Inc.;2008-ongoing;"Applied Psychology (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";
115;25691;Western European Politics;journal;1402382;2.439;Q1;70;64;193;3057;545;187;3.02;47.77;United Kingdom;Frank Cass Publishers;1978-ongoing;Political Science and International Relations (Q1);
116;19634;Crime and Justice;journal;1923234;2.431;Q1;36;12;31;841;130;28;2.89;70.08;United States;University of Chicago Press;2004-ongoing;Sociology and Political Science (Q1);
